rowid,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
501,2002,Journalist,1/24/02,Media,Sebastian Junger
502,2002,journalist,1/28/02,Media,Ron Insana
503,2002,novelist,1/29/02,Media,Elmore Leonard
504,2002,journalist,1/30/02,Media,John King
505,2002,actor,1/31/02,Acting,Jason Schwartzman
506,2002,actress,1/8/02,Acting,Anjelica Huston
507,2002,actor,1/9/02,Acting,Luke Wilson
508,2002,actor,10/1/02,Acting,Patrick Dempsey
509,2002,Host,10/10/02,Media,Oliver North
510,2002,,10/14/02,,Road to Washington Special
511,2002,news anchor,10/15/02,media,Judy Woodruff
512,2002,Comedian,10/16/02,Comedy,Richard Lewis
513,2002,actor,10/17/02,Acting,Greg Kinnear
514,2002,actor,10/2/02,Acting,David Schwimmer
515,2002,former american senator,10/28/02,Politician,John Edwards
516,2002,assistant secretary of defense,10/29/02,Government,Victoria Clarke
517,2002,actress,10/3/02,Acting,Rita Wilson
518,2002,Former Assistant to the President for Communications,10/30/02,Political Aide,Pat Buchanan
519,2002,Broadcaster,10/31/02,Media,Ted Koppel
520,2002,actor,10/7/02,Acting,Jake Gyllenhaal
521,2002,actress,10/8/02,Acting,Jill Hennessy
522,2002,Journalist,10/9/02,Media,Peter Jennings
523,2002,journalist,11/12/02,Media,Alexandra Pelosi
524,2002,actor,11/13/02,Acting,Kiefer Sutherland
525,2002,actor,11/14/02,Acting,Tom Arnold
526,2002,rapper,11/18/02,Musician,Ja Rule
527,2002,former us representativ,11/19/02,Politician,Harold Ford
528,2002,journalist,11/20/02,Media,Catherine Crier
529,2002,actor,11/21/02,Acting,Kevin James
530,2002,singer-songwriter,11/4/02,Musician,Christina Aguilera
531,2002,us senator,11/5/02,Politician,John McCain
532,2002,news anchor,11/6/02,media,Candy Crowley
533,2002,singer-songwriter,11/7/02,Musician,Jakob Dylan
534,2002,Journalist,12/10/02,Media,Tom Brokaw
535,2002,actress,12/11/02,Acting,Sandra Bullock
536,2002,actress,12/12/02,Acting,Anna Paquin
537,2002,us senator,12/16/02,Politician,Charles Schumer
538,2002,basketball player,12/17/02,Athletics,Charles Barkley
539,2002,actor,12/18/02,Acting,Edward Norton
540,2002,actor,12/19/02,Acting,John Cusack
541,2002,actor,12/2/02,Acting,Andy Richter
542,2002,editor,12/3/02,Media,Katrina vanden Heuvel
543,2002,stand-up comedian,12/4/02,Comedy,Colin Quinn
544,2002,actor,12/5/02,Acting,Rob Schneider
545,2002,former vice president,12/9/02,Politician,Al Gore
546,2002,actor,2/11/02,Acting,Scott Bakula
547,2002,television personality,2/12/02,Media,John Stossel
548,2002,activist,2/13/02,Advocacy,Ralph Nader
549,2002,actress,2/14/02,Acting,Rebecca Romijn
550,2002,actress,2/19/02,Acting,Jeri Ryan
551,2002,editor,2/20/02,Media,Bethany McLean
552,2002,Filmmaker,2/21/02,Media,Michael Moore
553,2002,Film director,2/4/02,Media,Ron Howard
554,2002,commentator,2/5/02,Media,Greta Van Susteren
555,2002,rapper,2/6/02,Musician,LL Cool J
556,2002,singer-songwriter,2/7/02,Musician,Barry Manilow
557,2002,actress,3/11/02,Acting,Bea Arthur
558,2002,actor,3/12/02,Acting,Denis Leary
559,2002,journalist,3/13/02,Media,Joe Klein
560,2002,television host,3/14/02,Media,Bill O'Reilly
561,2002,actor,3/18/02,Acting,Andy Richter
562,2002,us senator,3/19/02,Politician,John McCain
563,2002,actor,3/20/02,Acting,John Leguizamo
564,2002,actor,3/21/02,Acting,Aidan Quinn
565,2002,journalist,3/4/02,Media,David Remnick
566,2002,Comedian,3/5/02,Comedy,Richard Lewis
567,2002,actress,3/6/02,Acting,Milla Jovovich
568,2002,actor,3/7/02,Acting,Tom Arnold
569,2002,Journalist,4/1/02,Media,Paula Zahn
570,2002,actress,4/10/02,Acting,Patricia Arquette
571,2002,rock band,4/11/02,Musician,The Goo Goo Dolls
572,2002,actor,4/15/02,Acting,Samuel L. Jackson
573,2002,editor,4/16/02,Media,Lisa Beyer
574,2002,Model,4/17/02,Media,Tara Reid
575,2002,actor,4/18/02,Acting,Richard Dreyfuss
576,2002,journalist,4/2/02,Media,David Brock
577,2002,actor,4/22/02,Acting,Michael Clarke Duncan
578,2002,actor,4/23/02,Acting,Beau Bridges
579,2002,singer-songwriter,4/24/02,Musician,Elvis Costello
580,2002,journalist,4/25/02,Media,H.W. Crocker III
581,2002,editor,4/29/02,Media,Susan Caskie
582,2002,actor,4/3/02,Acting,Jon Favreau
583,2002,singer-songwriter,4/30/02,Musician,Alanis Morissette
584,2002,actress,4/4/02,Acting,Ashley Judd
585,2002,actor,4/8/02,Acting,Tony Danza
586,2002,news anchor,4/9/02,media,Judy Woodruff
587,2002,Broadcaster,5/1/02,Media,Robin Roberts
588,2002,Singer-songwriter,5/13/02,Musician,Moby
589,2002,actor,5/14/02,Acting,Liev Schreiber
590,2002,actor,5/15/02,Acting,Rupert Everett
591,2002,actress,5/16/02,Acting,Allison Janney
592,2002,actor,5/2/02,Acting,Willem Dafoe
593,2002,,5/23/02,,Matt Walsh Goes To Hawaii
594,2002,actor,5/6/02,Acting,Simon Baker
595,2002,Writer,5/7/02,Media,Mark Bowden
596,2002,actress,5/8/02,Acting,Diane Lane
597,2002,actor,5/9/02,Acting,David Boreanaz
598,2002,actor,6/11/02,Acting,Val Kilmer
599,2002,Former Mayor of New York City,6/12/02,Politician,Michael Bloomberg
600,2002,author,6/13/02,Media,Joseph Cirincione
601,2002,actor,6/17/02,Acting,Freddie Prinze Jr.
602,2002,actor,6/18/02,Acting,Christian Slater
603,2002,journalist,6/19/02,Media,Cynthia McFadden
604,2002,stand-up comedian,6/20/02,Comedy,David Cross Bob Odenkirk
605,2002,actor,6/20/02,Acting,David Cross Bob Odenkirk
606,2002,actor,6/24/02,Acting,Colin Farrell
607,2002,lawyer,6/25/02,Misc,David Scheffer
608,2002,actor,6/26/02,Acting,Paul Sorvino
609,2002,soccer player,6/27/02,Athletics,Clint Mathis
610,2002,actor,6/3/02,Acting,Colin Firth
611,2002,journalist,6/4/02,Media,Ashleigh Banfield
612,2002,actor,6/6/02,Acting,Charles Grodin
613,2002,rapper,7/10/02,Musician,Busta Rhymes
614,2002,television Personality,7/11/02,Media,Steve Irwin
615,2002,actor,7/15/02,Acting,John Ritter
616,2002,actress,7/16/02,Acting,Michelle Williams
617,2002,commentator,7/17/02,Media,Ann Coulter
618,2002,actress,7/18/02,Acting,Natasha Henstridge
619,2002,actor,7/22/02,Acting,Regis Philbin
620,2002,actor,7/23/02,Acting,Tim Blake Nelson
621,2002,actor,7/24/02,Acting,Steven Weber
622,2002,actor,7/25/02,Acting,Seth Green
623,2002,actress,7/29/02,Acting,Cynthia Nixon
624,2002,actor,7/30/02,Acting,Robert Wagner
625,2002,Comedian,7/31/02,Comedy,Martin Lawrence
626,2002,actor,7/8/02,Acting,Adam Sandler
627,2002,journalist,7/9/02,Media,John King
628,2002,actor,8/1/02,Acting,Mike Myers
629,2002,actor,8/12/02,Acting,Michael C. Hall
630,2002,Critic,8/13/02,Media,Scott Ritter
631,2002,actor,8/14/02,Acting,Kevin Nealon
632,2002,Journalist,8/15/02,Media,Rich Eisen
633,2002,actor,8/19/02,Acting,Denis Leary
634,2002,journalist,8/20/02,Media,Jim Lehrer
635,2002,actor,8/21/02,Acting,Robin Williams
636,2002,actor,8/22/02,Acting,Matthew Perry
637,2002,us senator,8/5/02,Politician,Charles Schumer
638,2002,actor,8/6/02,Acting,Antonio Banderas
639,2002,actor,8/7/02,Acting,Vin Diesel
640,2002,actor,8/8/02,Acting,Paul Rudd
641,2002,actor,9/10/02,Acting,Zach Braff
642,2002,Author,9/12/02,Media,Sarah Vowell
643,2002,journalist,9/16/02,Media,John Miller
644,2002,actor,9/17/02,Acting,Jason Lee
645,2002,actor,9/18/02,Acting,Damon Wayans
646,2002,actor,9/19/02,Acting,Djimon Hounsou
647,2002,actress,9/24/02,Acting,Kate Hudson
648,2002,white house sommunications director,9/25/02,Political Aide,George Stephanopoulos
649,2002,actress,9/26/02,Acting,Goldie Hawn
650,2002,actress,9/30/02,Acting,Bonnie Hunt
651,2002,actress,9/9/02,Acting,Lorraine Bracco
652,2003,actress,1/13/03,Acting,Kathy Bates
653,2003,Filmmaker,1/14/03,Media,Michael Moore
654,2003,comedian,1/15/03,Comedy,Dave Chappelle
655,2003,former us senator,1/16/03,Politician,Joseph Lieberman
656,2003,television host,1/20/03,Media,Merv Griffin
657,2003,television producer,1/21/03,Media,Simon Cowell
658,2003,actor,1/22/03,Acting,John C. Reilly
659,2003,television host,1/23/03,Media,Jimmy Kimmel
660,2003,actress,1/27/03,Acting,Rosie Perez
661,2003,actor,1/28/03,Acting,Sam Rockwell
662,2003,journalist,1/29/03,Media,Jeff Greenfield
663,2003,actor,1/30/03,Acting,Laurence Fishburne
664,2003,actress,1/7/03,Acting,Cameron Diaz
665,2003,actor,1/8/03,Acting,Ray Liotta
666,2003,actor,1/9/03,Acting,Philip Seymour Hoffman
667,2003,actress,10/1/03,Acting,Vivica A. Fox
668,2003,actor,10/2/03,Acting,Rob Lowe
669,2003,former national security advisio\r,10/20/03,Government,Henry Kissinger
670,2003,actress,10/21/03,Acting,Angelina Jolie
671,2003,Writer,10/22/03,Media,Walter Isaacson
672,2003,actor,10/23/03,Acting,Anthony Hopkins
673,2003,actor,10/27/03,Acting,Ted Danson
674,2003,Comedian,10/28/03,Comedy,Wanda Sykes
675,2003,Stand-up comedian,10/29/03,Comedy,Norm Macdonald
676,2003,Novelist,10/30/03,Media,Neal Pollack
677,2003,Filmmaker,10/6/03,Media,Michael Moore
678,2003,actor,10/7/03,Acting,Ronny Cox Marc Singer Robert Amstler Arianna Huffington
679,2003,us senator,10/8/03,Politician,Sen. Hillary Clinton
680,2003,actor,10/9/03,Acting,Tim Robbins
681,2003,actor,11/10/03,Acting,Will Ferrell
682,2003,actor,11/11/03,Acting,Peter Dinklage
683,2003,Rapper,11/12/03,Musician,Wyclef Jean
684,2003,actor,11/13/03,Acting,Brendan Fraser
685,2003,model,11/17/03,Media,Heidi Klum
686,2003,writer,11/18/03,Media,Bernard Goldberg
687,2003,actor,11/19/03,Acting,James Spader
688,2003,actor,11/20/03,Acting,Billy Bob Thornton
689,2003,,11/24/03,,Who are the Daily Show? Special
690,2003,actor,11/3/03,Acting,Kyle MacLachlan
691,2003,Historian,11/4/03,Academic,Michael Beschloss
692,2003,stand-up comedian,11/5/03,Comedy,Bob Newhart
693,2003,actor,11/6/03,Acting,Colin Firth
694,2003,actor,12/1/03,Acting,Adam Goldberg
695,2003,us senator,12/10/03,Politician,Sen. Zell Miller
696,2003,political figure,12/11/03,Politician,Gen. Wesley Clark
697,2003,actress,12/15/03,Acting,Maggie Gyllenhaal
698,2003,actor,12/16/03,Acting,Ben Affleck
699,2003,actress,12/17/03,Acting,Julia Stiles
700,2003,actress,12/18/03,Acting,Natalie Portman
701,2003,us senator,12/2/03,Politician,Sen. Tom Daschle
702,2003,radio host,12/3/03,Media,Alan Colmes
703,2003,radio host,12/3/03,Media,Sean Hannity
704,2003,actor,12/4/03,Acting,Alec Baldwin
705,2003,actress,12/8/03,Acting,Eva Mendes
706,2003,actor,12/9/03,Acting,Steve Buscemi
707,2003,journalist,2/10/03,Media,Joe Klein
708,2003,actress,2/11/03,Acting,Bebe Neuwirth
709,2003,actor,2/12/03,Acting,Michael Clarke Duncan
710,2003,actor,2/13/03,Acting,Ben Affleck
711,2003,Journalist,2/18/03,Media,Steve Kroft
712,2003,actor,2/19/03,Acting,Jeff Daniels
713,2003,actor,2/20/03,Acting,Luke Wilson
714,2003,pastor,2/3/03,Clergy,Doug Wilson
715,2003,actress,2/4/03,Acting,Kate Hudson
716,2003,author,2/5/03,Media,Arianna Huffington
717,2003,commentator,2/6/03,Media,David Frum
718,2003,correspondent,3/10/03,Media,Les Gelb
719,2003,stand-up comedian,3/11/03,Comedy,Colin Quinn
720,2003,former majority leader,3/12/03,Politician,Dick Gephardt
721,2003,actor,3/13/03,Acting,Tom Cavanagh
722,2003,historian,3/17/03,Academic,Eric Alterman
723,2003,actor,3/18/03,Acting,Jason Lee
724,2003,foreign policy expert,3/19/03,Academic,John Hulsman
725,2003,actor,3/20/03,Acting,Eddie Griffin
726,2003,editor,3/24/03,Media,Jim Kelly
727,2003,actress,3/25/03,Acting,Connie Nielsen
728,2003,Musician,3/26/03,Musician,Ringo Starr
729,2003,actress,3/27/03,Acting,Hilary Swank
730,2003,comedian,3/3/03,Comedy,Eric Idle
731,2003,comedian,3/31/03,Comedy,Chris Rock
732,2003,Writer,3/4/03,Media,Walter Isaacson
733,2003,actor,3/5/03,Acting,Adrien Brody
734,2003,stand-up comedian,3/6/03,Comedy,David Cross (show hosted by Stephen Colbert)
735,2003,writer,4/1/03,Media,Anthony Swofford
736,2003,stand-up comedian,4/10/03,Comedy,Dennis Miller
737,2003,actress,4/2/03,Acting,Kelly Preston
738,2003,Film actor,4/21/03,Acting,Patrick Stewart
739,2003,Film actress,4/22/03,Acting,Rachel Weisz
740,2003,Comedian,4/23/03,Comedy,Richard Lewis
741,2003,journalist,4/24/03,Media,Fareed Zakaria
742,2003,neurosurgeon,4/28/03,Science,Dr Sanjay Gupta
743,2003,actress,4/29/03,Acting,Julia Louis-Dreyfus
744,2003,actor,4/3/03,Acting,Colin Farrell
745,2003,actor,4/30/03,Acting,John Malkovich
746,2003,political psychologist,4/7/03,Consultant,Martha Burk
747,2003,actress,4/8/03,Acting,Susan Sarandon
748,2003,lawyer,4/9/03,Misc,Ambassador David Scheffer
749,2003,actress,5/1/03,Acting,Famke Janssen
750,2003,singer,5/12/03,Musician,Randy Jackson
751,2003,actor,5/13/03,Acting,Joshua Jackson
752,2003,historian,5/14/03,Academic,Diane Ravitch
753,2003,Journalist,5/15/03,Media,Michael Kinsley
754,2003,,5/26/03,,Iraq - A Look Baq (or how we learned to stop reporting and love the war)
755,2003,,5/26/03,,Iraq - A Look Baq (or how we learned to stop reporting and love the war)
756,2003,Commentator,5/27/03,Media,William Kristol
757,2003,journalist,5/28/03,Media,Lisa Ling
758,2003,journalist,5/29/03,Media,David Halberstam
759,2003,commentator,5/5/03,Media,Chris Matthews
760,2003,author,5/6/03,Media,Caroline Kennedy
761,2003,television presenter,5/7/03,Media,Graham Norton
762,2003,actor,5/8/03,Acting,Paul Rudd
763,2003,Former U.S. Representative,6/10/03,Politician,Newt Gingrich
764,2003,Journalist,6/11/03,Media,Sidney Blumenthal
765,2003,Rapper,6/12/03,Musician,Ludacris
766,2003,actor,6/16/03,Acting,Harrison Ford
767,2003,writer,6/17/03,Media,Lewis Lapham
768,2003,singer-songwriter,6/18/03,Musician,Kelly Clarkson
769,2003,actor,6/19/03,Acting,Ron Livingston
770,2003,journalist,6/2/03,Media,Bill Hemmer
771,2003,stand-up comedian,6/3/03,Comedy,Eddie Izzard
772,2003,Former United States Secretary of State,6/4/03,Politician,Madeleine Albright
773,2003,Singer,6/5/03,Musician,Tyrese Gibson
774,2003,,6/8/03,,Looking Beyond The Show
775,2003,actor,6/9/03,Acting,Guy Pearce
776,2003,american television personality,7/10/03,Media,Carson Daly
777,2003,actress,7/14/03,Acting,Angelina Jolie
778,2003,former us senator,7/15/03,Politician,Gary Hart
779,2003,actor,7/16/03,Acting,Rowan Atkinson
780,2003,Comedian,7/17/03,Comedy,Martin Lawrence
781,2003,actress,7/21/03,Acting,Gabrielle Union
782,2003,actor,7/22/03,Acting,Scott Glenn
783,2003,author,7/23/03,Media,Dick Morris
784,2003,diplomat,7/24/03,Government,Joseph C. Wilson
785,2003,television producer,7/28/03,Media,Paul Teutul Sr. Paul Teutul Jr.
786,2003,designer,7/28/03,Media,Paul Teutul Sr. Paul Teutul Jr.
787,2003,journalist,7/29/03,Media,Brian Williams
788,2003,actress,7/30/03,Acting,Alyson Hannigan
789,2003,Broadcaster,7/31/03,Media,Soledad O'Brien
790,2003,Former White House Press Secretary,7/8/03,Political Aide,Tony Snow
791,2003,author,7/9/03,Media,Erica Jong
792,2003,actor,8/11/03,Acting,Samuel L. Jackson
793,2003,actress,8/12/03,Acting,Kim Cattrall
794,2003,actor,8/13/03,Acting,Paul Giamatti
795,2003,-,8/14/03,,"Again, A Look Back"
796,2003,columnist,8/18/03,Media,Jim Hightower
797,2003,actress,8/19/03,Acting,Cynthia Nixon
798,2003,Puzzle Creator,8/20/03,Media,Will Shortz
799,2003,former us representative,8/21/03,Politician,Dennis Kucinich
800,2003,actor,8/4/03,Acting,Denis Leary
801,2003,musician,8/5/03,Musician,John Popper
802,2003,actor,8/6/03,Acting,Robert Duvall
803,2003,television actress,8/7/03,Acting,Tracey Ullman
804,2003,,9/1/03,,"I'm a Correspondent, Please Don't Fire Me!"
805,2003,actress,9/10/03,Acting,Kate Beckinsale
806,2003,,9/11/03,,No Guest
807,2003,us senator,9/15/03,Politician,Sen. John Edwards
808,2003,actor,9/15/03,Acting,"Cuba Gooding, Jr."
809,2003,Former United States Secretary of State,9/16/03,Politician,Madeleine Albright
810,2003,actor,9/17/03,Acting,Charlie Sheen
811,2003,actress,9/18/03,Acting,Christina Ricci
812,2003,actor,9/23/03,Acting,Michael Caine
813,2003,actor,9/24/03,Acting,Ben Stiller
814,2003,columnist,9/25/03,Media,Jonah Goldberg
815,2003,actor,9/29/03,Acting,Jack Black
816,2003,former us representative,9/30/03,Politician,Joe Scarborough
817,2003,united states senator,9/9/03,Politician,Al Franken
818,2004,Comedian,1/12/04,Comedy,Richard Lewis
819,2004,scientist,1/13/04,Science,Catherine Weitz
820,2004,former us senator,1/14/04,Politician,Carol Moseley-Braun
821,2004,vice president,1/15/04,Politician,Joe Biden
822,2004,actor,1/19/04,Acting,Philip Seymour Hoffman
823,2004,comedian,1/20/04,Comedy,Jeff Garlin
824,2004,us senator,1/21/04,Politician,Sen. John McCain
825,2004,actress,1/22/04,Acting,Erika Christensen
826,2004,writer,1/26/04,Media,Ken Auletta
827,2004,Political Scientist,1/27/04,Consultant,Richard Perle
828,2004,former governor of new jersey,1/28/04,Politician,Christine Todd Whitman
829,2004,actor,1/29/04,Acting,Kelsey Grammer
830,2004,Journalist,1/6/04,Media,Tom Brokaw
831,2004,actor,1/7/04,Acting,Elijah Wood
832,2004,actress,1/8/04,Acting,Charlize Theron
833,2004,us representative,10/18/04,Politician,Ed Koch
834,2004,actress,10/19/04,Acting,Marisa Tomei
835,2004,journalist,10/20/04,Media,Fareed Zakaria
836,2004,actor,10/21/04,Acting,Billy Crudup
837,2004,Former United States Secretary of State,10/25/04,Politician,Madeleine Albright
838,2004,former governor of nebraska,10/26/04,Politician,Bob Kerrey
839,2004,civil rights activist,10/27/04,Advocacy,Jesse Jackson
840,2004,author,10/28/04,Media,John Zogby
841,2004,social activist,10/4/04,Advocacy,Bishop Desmond Tutu
842,2004,actor,10/5/04,Acting,Billy Bob Thornton
843,2004,journalist,10/6/04,Media,Bob Schieffer
844,2004,television host,10/7/04,Media,Bill O'Reilly
845,2004,television host,11/1/04,Media,Chris Wallace
846,2004,Author,11/10/04,Media,Tom Wolfe
847,2004,analyst,11/11/04,Consultant,Kenneth Pollack
848,2004,former us senator,11/15/04,Politician,Kay Bailey Hutchison
849,2004,Journalist,11/16/04,Media,Tom Brokaw
850,2004,Historian,11/17/04,Academic,Thomas Frank
851,2004,actor,11/18/04,Acting,Woody Harrelson
852,2004,former govrnor of masssachusetts,11/2/04,Politician,William Weld & Al Sharpton
853,2004,minister,11/2/04,Clergy,William Weld & Al Sharpton
854,2004,actor,11/29/04,Acting,Jude Law
855,2004,us senator,11/3/04,Politician,Sen. Charles Schumer
856,2004,journalist,11/30/04,Media,Brian Williams
857,2004,Commentator,11/4/04,Media,William Kristol
858,2004,Businessman,11/9/04,Business,Richard Branson
859,2004,author,12/1/04,Media,Christopher Hitchens
860,2004,actor,12/13/04,Acting,Kevin Spacey
861,2004,diplomat,12/14/04,Government,Dore Gold
862,2004,comedian,12/15/04,Comedy,Billy Connolly
863,2004,journalist,12/16/04,Media,Katie Couric
864,2004,Author,12/2/04,Media,Stephen King
865,2004,actress,12/6/04,Acting,Isabella Rossellini
866,2004,Baseball player,12/7/04,Athletics,Paul O'Neill
867,2004,Writer,12/8/04,Media,Seth Mnookin
868,2004,actress,12/9/04,Acting,Kate Bosworth
869,2004,comedian,2/10/04,Comedy,Dave Chappelle
870,2004,actor,2/11/04,Acting,Paul Rudd
871,2004,actress,2/12/04,Acting,Drew Barrymore
872,2004,singer,2/2/04,Musician,Randy Jackson
873,2004,television Personality,2/23/04,Media,Tyra Banks
874,2004,writer,2/24/04,Media,John Podhoretz
875,2004,Singer-songwriter,2/25/04,Musician,Norah Jones
876,2004,actor,2/26/04,Acting,Samuel L. Jackson
877,2004,business magnate,2/3/04,Business,Donald Trump
878,2004,american politician,2/4/04,Politician,Bob Dole
879,2004,Film actor,2/5/04,Acting,Noah Wyle
880,2004,journalist,2/9/04,Media,Charles Lewis
881,2004,television actress,3/1/04,Acting,Edie Falco
882,2004,comedian,3/10/04,Comedy,George Carlin
883,2004,Journalist,3/11/04,Media,Paula Zahn
884,2004,us senator,3/15/04,Politician,Sen. Charles Schumer
885,2004,television personality,3/16/04,Media,John Stossel
886,2004,actor,3/17/04,Acting,Mekhi Phifer
887,2004,actor,3/18/04,Acting,Ethan Hawke
888,2004,Journalist,3/2/04,Media,Mark Ebner
889,2004,Trumpeter,3/22/04,Musician,Wynton Marsalis
890,2004,actor,3/23/04,Acting,Tom Hanks
891,2004,actor,3/24/04,Acting,Jamie Foxx
892,2004,united states senator,3/25/04,Politician,Al Franken
893,2004,actress,3/29/04,Acting,Jennifer Beals
894,2004,former mayor of new york,3/3/04,Politician,Rudolph Giuliani
895,2004,Adviser,3/30/04,Consultant,Richard A. Clarke
896,2004,public official,3/31/04,Government,Karen Hughes
897,2004,actor,3/4/04,Acting,Willem Dafoe
898,2004,actor,3/8/04,Acting,Val Kilmer
899,2004,political figure,3/9/04,Politician,Ed Gillespie
900,2004,stunt perfomrer,4/1/04,Acting,Johnny Knoxville
901,2004,Singer-songwriter,4/19/04,Musician,Melissa Etheridge
902,2004,actor,4/20/04,Acting,Mark Ruffalo
903,2004,television host,4/21/04,Media,John Gibson
904,2004,author,4/22/04,Media,Arianna Huffington
905,2004,former governor of nebraska,4/26/04,Politician,Bob Kerrey
906,2004,actress,4/27/04,Acting,Rebecca Romijn
907,2004,journalist,4/28/04,Media,Fareed Zakaria
908,2004,journalist,4/29/04,Media,Bob Woodward
909,2004,comedian,4/5/04,Comedy,Jerry Seinfeld
910,2004,actor,4/6/04,Acting,Matthew Perry and Bruce Willis
911,2004,actor,4/6/04,Acting,Matthew Perry and Bruce Willis
912,2004,actor,4/7/04,Acting,Tim Robbins
913,2004,actor,4/8/04,Acting,Jason Bateman
914,2004,us senator,5/10/04,Politician,Sen. John McCain
915,2004,journalist,5/11/04,Media,Tim Russert
916,2004,American Political figure,5/12/04,Politician,Ken Mehlman
917,2004,Commentator,5/13/04,Media,William Kristol
918,2004,film actress,5/3/04,Acting,Janeane Garofalo
919,2004,diplomat,5/4/04,Government,Joseph C. Wilson
920,2004,basketball player,5/5/04,Athletics,Kareem Abdul-Jabbar
921,2004,actor,5/6/04,Acting,Andy Richter
922,2004,stand-up comedian,6/1/04,Comedy,David Cross
923,2004,actress,6/10/04,Acting,Jennifer Love Hewitt
924,2004,actor,6/14/04,Acting,Stanley Tucci
925,2004,physician,6/15/04,Science,Hassan Ibrahim
926,2004,Former United States Secretary of Labor,6/16/04,Politician,Robert Reich
927,2004,television presenter,6/17/04,Media,Graham Norton
928,2004,journalist,6/2/04,Media,Thomas Friedman
929,2004,Columnist,6/21/04,Media,Stephen F. Hayes
930,2004,actress,6/22/04,Acting,Ashley Judd
931,2004,actor,6/23/04,Acting,Kevin Kline
932,2004,Filmmaker,6/24/04,Media,Michael Moore
933,2004,Governor of Virginia,6/28/04,Politician,Terry McAuliffe
934,2004,author,6/29/04,Media,Edward Conlon
935,2004,Former Governor of New York,6/3/04,Politician,Mario Cuomo
936,2004,journalist,6/30/04,Media,Calvin Trillin
937,2004,author,6/7/04,Media,Donna Brazile
938,2004,commentator,6/8/04,Media,David Brooks
939,2004,Documentary Filmmaker,6/9/04,Media,Morgan Spurlock
940,2004,Journalist,7/12/04,Media,Wolf Blitzer
941,2004,Journalist,7/13/04,Media,Michael Isikoff
942,2004,Author,7/14/04,Media,Sarah Vowell
943,2004,actor,7/15/04,Acting,Sacha Baron Cohen
944,2004,former governor of new mexico,7/27/04,Politician,Gov. Bill Richardson
945,2004,us senator,7/28/04,Politician,Sen. Joe Biden
946,2004,,7/29/04,,None
947,2004,,7/30/04,,None
948,2004,activist,7/6/04,Advocacy,Ralph Nader (show hosted by Stephen Colbert)
949,2004,actor,7/7/04,Acting,Will Ferrell
950,2004,actress,7/8/04,Acting,Christina Applegate
951,2004,Columnist,8/10/04,Media,Maureen Dowd
952,2004,actor,8/11/04,Acting,Tom Cruise
953,2004,author,8/12/04,Media,Bryan Keefer
954,2004,Former American senator,8/17/04,Politician,Norm Coleman
955,2004,actor,8/18/04,Acting,Burt Reynolds
956,2004,actor,8/19/04,Acting,Seth Green
957,2004,us representative,8/2/04,Politician,Rep. Henry Bonilla
958,2004,musician,8/23/04,Musician,Robert Smith
959,2004,secretary of state,8/24/04,Politician,John Kerry
960,2004,political figure,8/25/04,Politician,Ed Gillespie
961,2004,Film director,8/3/04,Media,Spike Lee
962,2004,0,8/30/04,,(None)
963,2004,Broadcaster,8/31/04,Media,Ted Koppel
964,2004,film actor,8/4/04,Acting,Aaron Eckhart
965,2004,actress,8/5/04,Acting,Natalie Portman
966,2004,us president,8/9/04,Politician,Bill Clinton
967,2004,assistant to the president for communications,9/1/04,Political Aide,Dan Bartlett
968,2004,actress,9/13/04,Acting,Drew Barrymore
969,2004,Former Assistant to the President for Communications,9/14/04,Political Aide,Pat Buchanan
970,2004,actor,9/15/04,Acting,Alec Baldwin
971,2004,actress,9/16/04,Acting,Gwyneth Paltrow
972,2004,us senator,9/2/04,Politician,Sen. John McCain
973,2004,adviser,9/21/04,Consultant,Richard Clarke
974,2004,former governor of montans,9/22/04,Politician,Gov. Marc Racicot
975,2004,actor,9/23/04,Acting,Matthew Broderick
976,2004,actress,9/27/04,Acting,Rosie Perez
977,2004,activist,9/28/04,Advocacy,Ralph Reed
978,2004,Journalist,9/29/04,Media,Seymour Hersh
979,2004,commentator,9/3/04,Media,Chris Matthews
980,2004,political figure,9/30/04,Politician,Wesley Clark
981,2004,former mayor of new york,9/30/04,Politician,Rudolph Giuliani
982,2005,lawyer,1/10/05,Misc,John Grisham
983,2005,actor,1/11/05,Acting,Samuel L. Jackson
984,2005,actor,1/12/05,Acting,Dennis Quaid
985,2005,actress,1/13/05,Acting,Annette Bening
986,2005,journalist,1/17/05,Media,Brian Ross
987,2005,writer,1/18/05,Media,Jim Wallis
988,2005,Historian,1/19/05,Academic,Michael Beschloss
989,2005,us senator,1/20/05,Politician,Sen. Joe Lieberman
990,2005,Political figure,1/24/05,Politician,Richard Viguerie
991,2005,Journalist,1/25/05,Media,Seymour Hersh
992,2005,actor,1/26/05,Acting,John Leguizamo
993,2005,former governor of new jersey,1/27/05,Politician,Christine Todd Whitman
994,2005,journalist,1/31/05,Media,Fareed Zakaria
995,2005,actor,1/4/05,Acting,Paul Giamatti
996,2005,actor,1/5/05,Acting,Don Cheadle
997,2005,historian,1/6/05,Academic,Howard Zinn
998,2005,singer-songwriter,10/17/05,Musician,Dolly Parton
999,2005,television host,10/18/05,Media,Bill O'Reilly
1000,2005,us assistant attorney,10/19/05,Government,Louis Freeh
